General information :

File	Capture018.ptw
Frame	854
Total frames	1484
time	15:42:42.177
Interval start	15:42:25.097
Interval end	15:42:54.777
Format	160	128


Timing-graph Data :

(time)	1 Mean  (°C)
15:42:35.097	2627.27
15:42:35.118	2627.32
15:42:35.137	2627.99
15:42:35.158	2627.02
15:42:35.177	2629.11
15:42:35.198	2629.32
15:42:35.218	2630.93
15:42:35.237	2630.11
15:42:35.258	2631.90
15:42:35.277	2632.66
15:42:35.298	2632.17
15:42:35.317	2631.91
15:42:35.338	2633.09
15:42:35.358	2634.15
15:42:35.378	2633.11
15:42:35.398	2633.45
15:42:35.417	2633.00
15:42:35.438	2635.99
15:42:35.457	2635.60
15:42:35.478	2635.77
15:42:35.497	2635.62
15:42:35.518	2635.57
15:42:35.538	2637.32
15:42:35.557	2637.93
15:42:35.578	2637.83
15:42:35.597	2637.29
15:42:35.618	2637.99
15:42:35.637	2638.50
15:42:35.658	2639.83
15:42:35.677	2639.42
15:42:35.698	2641.89
15:42:35.718	2640.99
15:42:35.737	2642.69
15:42:35.758	2641.86
15:42:35.777	2642.83
15:42:35.798	2642.94
15:42:35.817	2643.04
15:42:35.838	2643.62
15:42:35.858	2643.92
15:42:35.878	2645.46
15:42:35.898	2645.21
15:42:35.917	2646.73
15:42:35.938	2645.20
15:42:35.957	2648.46
15:42:35.978	2646.98
15:42:35.997	2647.88
15:42:36.018	2647.37
15:42:36.038	2649.44
15:42:36.057	2648.80
15:42:36.078	2649.15
15:42:36.097	2648.70
15:42:36.118	2649.72
15:42:36.137	2650.22
15:42:36.158	2650.78
15:42:36.177	2650.93
15:42:36.198	2651.39
15:42:36.218	2651.94
15:42:36.237	2652.97
15:42:36.258	2654.14
15:42:36.277	2654.40
15:42:36.298	2655.17
15:42:36.317	2655.38
15:42:36.338	2655.78
15:42:36.358	2656.14
15:42:36.378	2656.32
15:42:36.398	2657.04
15:42:36.417	2656.19
15:42:36.438	2658.63
15:42:36.457	2657.47
15:42:36.478	2659.24
15:42:36.497	2658.27
15:42:36.518	2659.32
15:42:36.538	2659.15
15:42:36.557	2659.61
15:42:36.578	2659.77
15:42:36.597	2660.05
15:42:36.618	2659.70
15:42:36.637	2661.40
15:42:36.658	2661.36
15:42:36.677	2660.10
15:42:36.698	2662.66
15:42:36.718	2661.62
15:42:36.737	2662.73
15:42:36.758	2661.27
15:42:36.777	2664.99
15:42:36.798	2662.78
15:42:36.817	2664.13
15:42:36.838	2662.89
15:42:36.858	2664.48
15:42:36.878	2663.92
15:42:36.898	2665.54
15:42:36.917	2665.87
15:42:36.938	2665.68
15:42:36.957	2666.67
15:42:36.978	2665.06
15:42:36.997	2666.53
15:42:37.018	2666.92
15:42:37.038	2668.01
15:42:37.057	2667.10
15:42:37.078	2668.20
15:42:37.097	2667.14
15:42:37.118	2667.51
15:42:37.137	2667.64
15:42:37.158	2668.67
15:42:37.177	2669.11
15:42:37.198	2668.77
15:42:37.218	2669.33
15:42:37.237	2669.87
15:42:37.258	2671.52
15:42:37.277	2670.31
15:42:37.298	2673.05
15:42:37.317	2671.24
15:42:37.338	2673.51
15:42:37.358	2672.15
15:42:37.378	2673.72
15:42:37.398	2672.13
15:42:37.417	2673.96
15:42:37.438	2672.83
15:42:37.457	2673.51
15:42:37.478	2673.53
15:42:37.497	2674.23
15:42:37.518	2675.02
15:42:37.538	2674.28
15:42:37.557	2676.10
15:42:37.578	2674.48
15:42:37.597	2676.15
15:42:37.618	2675.13
15:42:37.637	2675.94
15:42:37.658	2675.47
15:42:37.677	2677.11
15:42:37.698	2677.22
15:42:37.718	2676.66
15:42:37.737	2678.29
15:42:37.758	2677.07
15:42:37.777	2678.79
15:42:37.798	2679.16
15:42:37.817	2679.38
15:42:37.838	2678.99
15:42:37.858	2680.19
15:42:37.878	2678.99
15:42:37.898	2681.01
15:42:37.917	2679.18
15:42:37.938	2679.96
15:42:37.957	2680.41
15:42:37.978	2680.45
15:42:37.997	2681.18
15:42:38.018	2680.82
15:42:38.038	2682.42
15:42:38.057	2681.15
15:42:38.078	2682.50
15:42:38.097	2681.86
15:42:38.118	2682.77
15:42:38.137	2681.88
15:42:38.158	2684.14
15:42:38.177	2683.25
15:42:38.198	2684.75
15:42:38.218	2683.43
15:42:38.237	2684.45
15:42:38.258	2684.07
15:42:38.277	2684.59
15:42:38.298	2684.74
15:42:38.317	2684.30
15:42:38.338	2685.59
15:42:38.358	2685.14
15:42:38.378	2685.85
15:42:38.398	2685.00
15:42:38.417	2685.66
15:42:38.438	2686.84
15:42:38.457	2686.83
15:42:38.478	2686.67
15:42:38.497	2686.24
15:42:38.518	2688.28
15:42:38.538	2686.83
15:42:38.557	2688.25
15:42:38.578	2686.71
15:42:38.597	2689.22
15:42:38.618	2687.58
15:42:38.637	2689.83
15:42:38.658	2686.91
15:42:38.677	2689.45
15:42:38.698	2686.86
15:42:38.718	2690.48
15:42:38.737	2688.20
15:42:38.758	2690.60
15:42:38.777	2688.83
15:42:38.798	2690.15
15:42:38.817	2689.74
15:42:38.838	2690.95
15:42:38.858	2690.93
15:42:38.878	2691.33
15:42:38.898	2691.27
15:42:38.917	2691.68
15:42:38.938	2691.70
15:42:38.957	2692.31
15:42:38.978	2691.22
15:42:38.997	2693.04
15:42:39.018	2691.88
15:42:39.038	2693.54
15:42:39.057	2691.14
15:42:39.078	2694.16
15:42:39.097	2691.77
15:42:39.118	2694.47
15:42:39.137	2691.86
15:42:39.158	2694.74
15:42:39.177	2692.27
15:42:39.198	2696.31
15:42:39.218	2694.11
15:42:39.237	2696.12
15:42:39.258	2693.71
15:42:39.277	2696.37
15:42:39.298	2694.68
15:42:39.317	2696.56
15:42:39.338	2695.26
15:42:39.358	2696.42
15:42:39.378	2697.07
15:42:39.398	2696.82
15:42:39.417	2696.34
15:42:39.438	2696.62
15:42:39.457	2697.67
15:42:39.478	2697.39
15:42:39.497	2697.46
15:42:39.518	2697.47
15:42:39.538	2697.65
15:42:39.557	2698.99
15:42:39.578	2698.52
15:42:39.597	2699.40
15:42:39.618	2698.85
15:42:39.637	2700.41
15:42:39.658	2699.36
15:42:39.677	2700.16
15:42:39.698	2699.06
15:42:39.718	2700.62
15:42:39.737	2699.35
15:42:39.758	2701.29
15:42:39.777	2700.27
15:42:39.798	2701.69
15:42:39.817	2701.30
15:42:39.838	2702.06
15:42:39.858	2701.63
15:42:39.878	2701.26
15:42:39.898	2702.00
15:42:39.917	2701.91
15:42:39.938	2702.80
15:42:39.957	2701.50
15:42:39.978	2703.40
15:42:39.997	2702.13
15:42:40.018	2704.21
15:42:40.038	2702.81
15:42:40.057	2704.11
15:42:40.078	2703.45
15:42:40.097	2704.37
15:42:40.118	2703.89
15:42:40.137	2704.07
15:42:40.158	2704.14
15:42:40.177	2704.34
15:42:40.198	2704.79
15:42:40.218	2704.67
15:42:40.237	2705.28
15:42:40.258	2704.11
15:42:40.277	2705.83
15:42:40.298	2705.29
15:42:40.317	2706.30
15:42:40.338	2704.42
15:42:40.358	2705.82
15:42:40.378	2706.39
15:42:40.398	2706.84
15:42:40.417	2706.80
15:42:40.438	2706.47
15:42:40.457	2706.67
15:42:40.478	2706.84
15:42:40.497	2707.37
15:42:40.518	2706.48
15:42:40.538	2707.40
15:42:40.557	2707.30
15:42:40.578	2707.52
15:42:40.597	2707.45
15:42:40.618	2707.53
15:42:40.637	2708.00
15:42:40.658	2707.53
15:42:40.677	2708.38
15:42:40.698	2707.44
15:42:40.718	2708.97
15:42:40.737	2707.31
15:42:40.758	2708.75
15:42:40.777	2706.94
15:42:40.798	2709.38
15:42:40.817	2708.33
15:42:40.838	2709.48
15:42:40.858	2708.17
15:42:40.878	2709.67
15:42:40.898	2708.54
15:42:40.917	2709.56
15:42:40.938	2708.57
15:42:40.957	2709.35
15:42:40.978	2709.12
15:42:40.997	2709.13
15:42:41.018	2709.88
15:42:41.038	2709.21
15:42:41.057	2709.95
15:42:41.078	2709.67
15:42:41.097	2710.20
15:42:41.118	2709.69
15:42:41.137	2709.71
15:42:41.158	2710.17
15:42:41.177	2710.04
15:42:41.198	2710.10
15:42:41.218	2709.77
15:42:41.237	2709.85
15:42:41.258	2709.36
15:42:41.277	2710.54
15:42:41.298	2710.16
15:42:41.317	2711.78
15:42:41.338	2709.97
15:42:41.358	2711.19
15:42:41.378	2711.03
15:42:41.398	2711.00
15:42:41.417	2710.49
15:42:41.438	2710.66
15:42:41.457	2710.50
15:42:41.478	2710.98
15:42:41.497	2711.05
15:42:41.518	2710.70
15:42:41.538	2711.98
15:42:41.557	2711.54
15:42:41.578	2712.20
15:42:41.597	2711.34
15:42:41.618	2712.29
15:42:41.637	2711.80
15:42:41.658	2712.29
15:42:41.677	2711.80
15:42:41.698	2712.33
15:42:41.718	2711.98
15:42:41.737	2711.42
15:42:41.758	2711.97
15:42:41.777	2712.03
15:42:41.798	2712.57
15:42:41.817	2712.05
15:42:41.838	2712.73
15:42:41.858	2711.19
15:42:41.878	2713.03
15:42:41.898	2712.22
15:42:41.917	2712.60
15:42:41.938	2711.67
15:42:41.957	2713.44
15:42:41.978	2712.55
15:42:41.997	2712.85
15:42:42.018	2712.06
15:42:42.038	2712.50
15:42:42.057	2712.60
15:42:42.078	2712.97
15:42:42.097	2712.96
15:42:42.118	2712.81
15:42:42.137	2713.13
15:42:42.158	2712.80
15:42:42.177	2713.17
15:42:42.198	2713.24
15:42:42.218	2712.80
15:42:42.237	2713.22
15:42:42.258	2712.76
15:42:42.277	2713.45
15:42:42.298	2712.51
15:42:42.317	2713.36
15:42:42.338	2712.32
15:42:42.358	2713.09
15:42:42.378	2711.97
15:42:42.398	2713.44
15:42:42.417	2712.81
15:42:42.438	2714.29
15:42:42.457	2713.48
15:42:42.478	2713.78
15:42:42.497	2713.51
15:42:42.518	2714.02
15:42:42.538	2714.24
15:42:42.557	2713.96
15:42:42.578	2713.95
15:42:42.597	2713.53
15:42:42.618	2714.34
15:42:42.637	2714.01
15:42:42.658	2714.92
15:42:42.677	2713.60
15:42:42.698	2714.64
15:42:42.718	2714.16
15:42:42.737	2715.47
15:42:42.758	2714.09
15:42:42.777	2714.32
