(time)	1 Max  (°C)	1 Mean  (°C)
16:48:14.134	1427.73	1384.79
16:48:14.154	1425.90	1382.09
16:48:14.174	1421.62	1374.50
16:48:14.194	1415.49	1371.54
16:48:14.214	1408.11	1362.01
16:48:14.235	1406.88	1361.16
16:48:14.254	1401.94	1357.48
16:48:14.274	1406.88	1364.11
16:48:14.294	1405.03	1362.50
16:48:14.314	1403.17	1360.65
16:48:14.334	1407.49	1367.54
16:48:14.354	1407.49	1366.20
16:48:14.375	1403.17	1364.02
16:48:14.394	1407.49	1365.44
16:48:14.415	1406.26	1368.93
16:48:14.434	1408.11	1367.49
16:48:14.454	1405.64	1368.06
16:48:14.474	1406.26	1364.99
16:48:14.494	1405.03	1367.97
16:48:14.514	1401.32	1363.36
16:48:14.534	1406.88	1368.29
16:48:14.555	1406.88	1365.42
16:48:14.574	1407.49	1368.83
16:48:14.595	1418.56	1376.17
16:48:14.614	1414.87	1374.56
16:48:14.634	1421.62	1382.01
16:48:14.654	1424.06	1384.22
16:48:14.674	1420.39	1379.21
16:48:14.694	1425.90	1387.80
16:48:14.714	1433.22	1393.70
16:48:14.735	1433.82	1396.84
16:48:14.754	1431.39	1391.15
16:48:14.774	1435.65	1399.22
16:48:14.794	1441.72	1402.49
16:48:14.814	1446.57	1407.27
16:48:14.834	1447.78	1410.51
16:48:14.854	1449.59	1412.49
16:48:14.875	1456.23	1419.00
16:48:14.894	1454.42	1419.43
16:48:14.915	1459.84	1424.33
16:48:14.934	1462.24	1426.48
16:48:14.954	1463.44	1428.38
16:48:14.974	1463.44	1427.93
16:48:14.994	1466.44	1431.38
16:48:15.014	1471.23	1435.37
16:48:15.034	1467.04	1435.24
16:48:15.055	1468.84	1434.98
16:48:15.074	1473.02	1437.79
16:48:15.095	1466.44	1429.51
16:48:15.114	1476.01	1441.06
16:48:15.134	1476.61	1440.16
16:48:15.154	1468.24	1430.20
16:48:15.174	1472.43	1436.78
16:48:15.194	1469.44	1434.74
16:48:15.214	1461.64	1426.74
16:48:15.235	1461.64	1426.09
16:48:15.254	1464.04	1429.24
16:48:15.274	1467.04	1429.05
16:48:15.294	1465.84	1428.30
16:48:15.314	1474.82	1435.90
16:48:15.334	1460.44	1427.20
16:48:15.354	1461.64	1425.33
16:48:15.375	1457.43	1422.46
16:48:15.394	1467.64	1432.38
16:48:15.415	1462.24	1424.55
16:48:15.434	1461.64	1424.40
