(time)	1 Mean  (°C)
12:21:47.122	884.44
12:21:47.141	880.98
12:21:47.161	877.65
12:21:47.182	874.17
12:21:47.201	870.91
12:21:47.222	867.63
12:21:47.241	863.82
12:21:47.262	861.06
12:21:47.281	857.58
12:21:47.302	854.68
12:21:47.322	851.05
12:21:47.341	848.16
12:21:47.362	845.02
12:21:47.381	841.99
12:21:47.402	839.03
12:21:47.421	836.02
12:21:47.442	833.22
12:21:47.461	830.08
12:21:47.481	827.21
12:21:47.502	824.34
12:21:47.521	821.51
12:21:47.542	818.69
12:21:47.561	815.95
12:21:47.582	812.96
12:21:47.601	810.30
12:21:47.622	807.65
12:21:47.641	804.74
12:21:47.661	802.25
12:21:47.682	799.35
12:21:47.701	796.95
12:21:47.722	794.08
12:21:47.741	791.78
12:21:47.762	788.68
12:21:47.781	786.69
12:21:47.802	783.71
12:21:47.822	781.69
12:21:47.841	778.75
12:21:47.862	776.69
12:21:47.881	773.84
12:21:47.902	771.92
12:21:47.921	768.98
12:21:47.942	766.84
12:21:47.961	764.17
12:21:47.981	762.04
12:21:48.002	759.72
12:21:48.021	757.30
