(time)	1 Max  (°C)
17:14:43.025	1894.44
17:14:43.044	1894.44
17:14:43.065	1895.46
17:14:43.084	1891.38
17:14:43.104	1890.70
17:14:43.125	1885.25
17:14:43.144	1886.96
17:14:43.165	1891.04
17:14:43.184	1888.66
17:14:43.205	1890.70
17:14:43.224	1889.34
17:14:43.245	1887.30
17:14:43.264	1886.96
17:14:43.284	1887.98
17:14:43.305	1882.86
17:14:43.324	1875.34
17:14:43.345	1874.31
17:14:43.364	1871.91
17:14:43.385	1864.69
17:14:43.404	1865.38
17:14:43.424	1871.91
17:14:43.444	1872.25
17:14:43.464	1875.34
17:14:43.485	1872.25
17:14:43.504	1873.63
17:14:43.525	1875.34
17:14:43.544	1875.34
17:14:43.565	1877.05
17:14:43.584	1878.08
17:14:43.604	1872.60
17:14:43.625	1875.68
17:14:43.644	1878.08
17:14:43.665	1881.50
17:14:43.684	1881.84
17:14:43.705	1883.55
17:14:43.724	1883.20
17:14:43.745	1887.64
17:14:43.764	1881.84
17:14:43.784	1883.20
17:14:43.805	1885.25
17:14:43.824	1887.98
17:14:43.845	1880.81
17:14:43.864	1880.13
17:14:43.885	1884.57
17:14:43.904	1879.45
17:14:43.924	1873.63
17:14:43.944	1875.34
17:14:43.964	1880.47
17:14:43.985	1875.68
17:14:44.004	1875.68
17:14:44.025	1875.00
17:14:44.044	1870.54
17:14:44.065	1863.66
17:14:44.084	1862.28
17:14:44.104	1864.00
17:14:44.125	1861.93
17:14:44.144	1861.93
17:14:44.165	1864.00
17:14:44.184	1861.24
17:14:44.205	1862.28
17:14:44.224	1860.55
17:14:44.245	1857.10
17:14:44.264	1862.62
17:14:44.284	1860.55
17:14:44.305	1860.55
17:14:44.324	1857.79
17:14:44.345	1857.10
17:14:44.364	1859.52
17:14:44.385	1865.72
17:14:44.404	1871.91
17:14:44.424	1875.68
17:14:44.444	1880.47
17:14:44.464	1874.31
17:14:44.485	1865.38
17:14:44.504	1857.45
17:14:44.525	1856.41
17:14:44.544	1860.90
17:14:44.565	1865.72
17:14:44.584	1870.88
17:14:44.604	1858.48
17:14:44.625	1866.76
17:14:44.644	1866.07
17:14:44.665	1868.13
17:14:44.684	1873.28
17:14:44.705	1878.42
17:14:44.724	1876.02
17:14:44.745	1876.02
17:14:44.764	1876.02
17:14:44.784	1879.10
17:14:44.805	1877.39
17:14:44.824	1877.74
17:14:44.845	1872.25
17:14:44.864	1872.25
17:14:44.885	1868.82
17:14:44.904	1867.79
17:14:44.924	1866.07
17:14:44.944	1871.57
17:14:44.964	1869.85
17:14:44.985	1879.79
17:14:45.004	1872.94
17:14:45.025	1875.68
17:14:45.044	1873.63
17:14:45.065	1875.68
17:14:45.084	1872.94
17:14:45.104	1872.94
17:14:45.125	1865.38
17:14:45.144	1867.44
17:14:45.165	1862.62
17:14:45.184	1862.28
17:14:45.205	1861.59
17:14:45.224	1866.41
17:14:45.245	1869.85
17:14:45.264	1871.22
17:14:45.284	1873.97
17:14:45.305	1869.51
17:14:45.324	1867.79
17:14:45.345	1866.41
17:14:45.364	1868.82
17:14:45.385	1872.94
17:14:45.404	1872.60
17:14:45.424	1875.34
17:14:45.444	1871.91
17:14:45.464	1868.13
17:14:45.485	1864.35
17:14:45.504	1864.00
17:14:45.525	1860.55
17:14:45.544	1866.41
17:14:45.565	1868.13
17:14:45.584	1869.85
17:14:45.604	1869.51
17:14:45.625	1872.60
17:14:45.644	1872.60
17:14:45.665	1872.25
17:14:45.684	1874.31
17:14:45.705	1865.72
17:14:45.724	1864.35
17:14:45.745	1862.62
17:14:45.764	1863.66
17:14:45.784	1866.07
17:14:45.805	1869.16
17:14:45.824	1870.88
17:14:45.845	1871.22
17:14:45.864	1869.51
17:14:45.885	1865.72
17:14:45.904	1859.17
17:14:45.924	1854.68
17:14:45.944	1855.72
17:14:45.964	1856.76
17:14:45.985	1854.34
17:14:46.004	1853.64
17:14:46.025	1856.41
17:14:46.044	1854.34
17:14:46.065	1859.17
17:14:46.084	1865.38
17:14:46.104	1871.91
17:14:46.125	1872.60
17:14:46.144	1875.34
17:14:46.165	1867.79
17:14:46.184	1868.48
17:14:46.205	1866.07
17:14:46.224	1864.35
17:14:46.245	1862.28
17:14:46.264	1858.48
17:14:46.284	1856.06
17:14:46.305	1852.95
17:14:46.324	1856.76
17:14:46.345	1851.91
17:14:46.364	1853.30
17:14:46.385	1852.60
17:14:46.404	1850.18
17:14:46.424	1855.37
17:14:46.444	1856.06
17:14:46.464	1860.21
17:14:46.485	1852.95
17:14:46.504	1852.60
17:14:46.525	1854.68
17:14:46.544	1852.60
17:14:46.565	1857.45
17:14:46.584	1854.68
17:14:46.604	1855.03
17:14:46.625	1860.55
17:14:46.644	1855.03
17:14:46.665	1852.26
17:14:46.684	1852.26
17:14:46.705	1856.76
17:14:46.724	1852.95
17:14:46.745	1852.26
17:14:46.764	1844.97
17:14:46.784	1843.58
17:14:46.805	1841.15
17:14:46.824	1836.96
17:14:46.845	1837.31
17:14:46.864	1839.06
17:14:46.885	1841.15
17:14:46.904	1838.01
17:14:46.924	1838.36
17:14:46.944	1835.57
17:14:46.964	1835.92
17:14:46.985	1839.40
17:14:47.004	1839.06
17:14:47.025	1841.15
17:14:47.044	1836.27
17:14:47.065	1836.96
17:14:47.084	1836.27
17:14:47.104	1839.40
17:14:47.125	1838.36
17:14:47.144	1847.40
17:14:47.165	1844.28
17:14:47.184	1840.45
17:14:47.205	1839.06
17:14:47.224	1841.84
17:14:47.245	1848.10
17:14:47.264	1847.40
17:14:47.284	1843.23
17:14:47.305	1845.67
17:14:47.324	1843.93
17:14:47.345	1842.54
17:14:47.364	1847.06
17:14:47.385	1857.10
17:14:47.404	1856.06
17:14:47.424	1861.24
17:14:47.444	1859.86
17:14:47.464	1854.34
17:14:47.485	1859.17
17:14:47.504	1857.79
17:14:47.525	1856.06
17:14:47.544	1860.21
17:14:47.565	1859.52
17:14:47.584	1857.45
17:14:47.604	1856.41
17:14:47.625	1850.18
17:14:47.644	1850.18
17:14:47.665	1851.91
17:14:47.684	1851.22
17:14:47.705	1857.10
17:14:47.724	1857.79
17:14:47.745	1855.37
17:14:47.764	1850.53
17:14:47.784	1847.40
17:14:47.805	1850.18
17:14:47.824	1857.10
17:14:47.845	1852.95
17:14:47.864	1854.68
